year_month,mean_temp,median_temp,var_temp,min_temp,max_temp,mean_prcp,median_prcp,var_prcp,min_prcp,max_prcp
1979-04,48.92794117647059,49.650000000000006,32.97010316066728,32.8,61.1,0.0,0.0,0.0,0.0,0.0
1979-05,54.386842105263156,53.4,34.83689122807023,43.9,70.8,0.0,0.0,0.0,0.0,0.0
1979-06,57.82571428571429,57.95,27.66135817805385,48.4,72.6,0.0,0.0,0.0,0.0,0.0
1979-07,60.6955223880597,60.3,27.546494798733615,52.9,77.3,0.0,0.0,0.0,0.0,0.0
1979-08,61.5728813559322,62.2,16.3816656925774,52.7,70.1,0.0,0.0,0.0,0.0,0.0
1979-09,61.89848484848485,61.5,15.425997668997672,54.9,72.3,0.0,0.0,0.0,0.0,0.0
1979-10,54.72692307692308,54.900000000000006,13.892446153846159,40.4,60.4,0.0,0.0,0.0,0.0,0.0
1979-11,51.709090909090904,52.9,16.71090909090909,44.4,56.2,0.0,0.0,0.0,0.0,0.0
1979-12,51.26190476190476,51.7,7.860476190476196,45.4,55.1,0.0,0.0,0.0,0.0,0.0
1980-01,35.758011049723756,37.8,185.94011602209932,0.8,62.7,0.060375,0.0,0.03726526729559749,0.0,1.3
1980-02,39.93926380368099,41.9,212.79536241763245,-2.6,66.6,0.02355263157894737,0.0,0.007095904496340187,0.0,0.75
1980-03,45.49770114942529,47.45,144.12115075410276,9.5,69.9,0.04027027027027027,0.0,0.027156389042103334,0.0,1.34
1980-04,53.09,54.1,161.67777653631273,24.7,79.8,0.028013698630136984,0.0,0.009930510155880968,0.0,0.71
1980-05,62.245999999999995,63.2,132.55484966442955,36.1,84.1,0.03749999999999999,0.0,0.048423473282442744,0.0,2.01
1980-06,70.09386503067485,71.4,174.5523078088314,43.3,101.0,0.0051333333333333335,0.0,0.0009728008948545866,0.0,0.28
1980-07,78.34487179487179,78.4,124.60119933829607,53.1,101.0,0.005971223021582733,0.0,0.0037213324992180163,0.0,0.71
1980-08,75.73233082706767,75.9,83.87871952608776,56.6,93.3,0.008492063492063492,0.0,0.002904107936507937,0.0,0.51
1980-09,66.28750000000001,67.4,115.29036842105252,40.0,86.4,0.0004761904761904762,0.0,1.9047619047619053e-05,0.0,0.04
1980-10,53.18681318681319,53.5,161.46049084249063,30.3,80.4,0.0,0.0,0.0,0.0,0.0
1980-11,46.77307692307692,45.55,137.9110256410256,26.4,76.7,0.0,0.0,0.0,0.0,0.0
1980-12,31.050819672131148,34.9,171.1765409836066,-8.9,47.9,0.0,0.0,0.0,0.0,0.0
1981-01,37.78024691358024,39.3,108.59650180200909,6.6,66.0,0.010326797385620916,0.0,0.0020189714482284128,0.0,0.3
1981-02,41.538364779874215,43.1,196.09491123318202,-1.7,70.4,0.003821656050955414,0.0,0.0005686346562142738,0.0,0.24
1981-03,48.07795698924731,48.150000000000006,113.21480877651845,8.1,74.7,0.007921348314606742,0.0,0.002399609598171777,0.0,0.43
1981-04,60.51657458563536,62.6,135.42916820135048,8.1,79.2,0.0072881355932203394,0.0,0.005536922187981511,0.0,0.98
1981-05,66.24684684684685,68.0,99.61651269451261,36.9,83.9,0.0031132075471698114,0.0,0.0009073584905660378,0.0,0.31
1981-06,75.73670886075949,78.6,134.27414800389505,45.6,91.5,0.001232876712328767,0.0,4.429223744292236e-05,0.0,0.04
1981-07,75.97721518987342,80.1,106.33511522233034,48.7,87.9,0.019358974358974358,0.0,0.007735947385947386,0.0,0.71
1981-08,74.73009708737864,75.6,49.415261755187515,57.4,88.8,0.022475247524752474,0.0,0.009090811881188118,0.0,0.83
1981-09,67.33650793650793,70.6,92.69848438300066,37.4,80.8,0.015483870967741935,0.0,0.0050218931782125865,0.0,0.43
1981-10,59.51219512195122,61.0,108.11809756097568,27.8,80.9,0.03425,0.0,0.015081474358974356,0.0,0.71
1981-11,47.88125,47.65,19.18295833333335,43.0,57.4,0.0,0.0,0.0,0.0,0.0
1982-01,48.15217391304348,46.3,202.36169960474308,15.8,79.5,0.0,0.0,0.0,0.0,0.0
1982-02,55.379999999999995,58.1,93.3216842105263,35.7,70.1,0.0,0.0,0.0,0.0,0.0
1982-03,49.34444444444444,51.3,116.06333333333338,27.1,73.8,0.0,0.0,0.0,0.0,0.0
1982-04,48.184615384615384,44.0,199.2580769230769,25.4,72.4,0.0,0.0,0.0,0.0,0.0
1982-05,67.95,71.80000000000001,120.63000000000011,51.8,76.4,0.0,0.0,0.0,0.0,0.0
1982-06,81.5,81.5,5.119999999999964,79.9,83.1,0.0,0.0,0.0,0.0,0.0
1982-09,87.7,87.7,,87.7,87.7,0.0,0.0,,0.0,0.0
1982-10,75.8,75.8,,75.8,75.8,0.0,0.0,,0.0,0.0
1982-11,75.9,75.9,,75.9,75.9,0.0,0.0,,0.0,0.0
1983-01,47.09021739130435,49.95,172.63055849802367,10.3,67.8,0.012156133828996283,0.0,0.006398318814847695,0.0,0.83
